Time (UTC);WT_WW-P-50.215.ThHy_ext.PU315;eta_total_electric_power;hex1_on_off;central_machine_heating_on_off;EV_NVP.Elek_P.TGA;chp1_electric_power;static_heating_volume_flow;t_amb;hex1_thermal_load;static_heating_on_off;chp2_electric_power;bproductionmodeactivated;static_heating_thermal_load;central_machine_heating_volume_flow;ThSp_VC-100E.395.ThHy_T_ob;central_machine_heating_thermal_load;hex1_volume_flow_hnht;eta_without_hnht_electric_power;zero_thermal_load;bsetstatusonalgorithm;bheatingmodeactivated;chp_index;feed_in_tariff_euro_per_kWh;chp_remuneration_self_consumption_euro_per_kWh;electricity_price_euro_per_kWh;CO2_intensity_gCO2_per_kWh;gas_price_euro_per_kWh
2026-01-03 21:48:00;20,86998748779297;6,930337905883789;0;0;4,288098335266113;0,0;0,0409999974071979;7,119999885559082;-0,0;1;0,0;1,0;-0,4684431850910187;0,0;66,28668212890625;-0,0;0,0;6,930337905883789;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:49:00;20,86998748779297;8,478384017944336;0;0;5,562826633453369;0,0;0,0355940721929073;7,119999885559082;-0,0;1;0,0;1,0;-0,4315141439437866;0,0;66,28589630126953;-0,0;0,0;8,478384017944336;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:50:00;20,86998748779297;8,504557609558105;0;0;5,564971446990967;0,0;0,0251911170780658;7,119999885559082;-0,0;1;0,0;1,0;-0,3151226043701172;0,0;66,26834869384766;-0,0;0,0;8,504557609558105;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:51:00;20,86998748779297;8,481040954589844;0;0;5,562534809112549;0,0;0,0249999985098838;7,119999885559082;-0,0;1;0,0;1,0;-0,3190551996231079;0,0;66,26669311523438;-0,0;0,0;8,481040954589844;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:52:00;20,86998748779297;8,527124404907227;0;0;5,569393634796143;0,0;0,0238626301288604;7,119999885559082;-0,0;1;0,0;1,0;-0,3113772869110107;0,0;66,26351928710938;-0,0;0,0;8,527124404907227;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:53:00;20,86998748779297;8,492006301879883;0;0;5,553173542022705;0,0;0,0177193414419889;7,119999885559082;-0,0;1;0,0;1,0;-0,2407443523406982;0,0;66,25926208496094;-0,0;0,0;8,492006301879883;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:54:00;20,86998748779297;8,537452697753906;0;0;5,57844352722168;0,0;0,0150005705654621;7,119999885559082;-0,0;1;0,0;1,0;-0,2170353233814239;0,0;66,25062561035156;-0,0;0,0;8,537452697753906;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:55:00;20,86998748779297;8,509602546691895;0;0;5,588515758514404;0,0;0,0311242658644914;7,119999885559082;-0,0;1;0,0;1,0;-0,4596131443977356;0,0;66,2466812133789;-0,0;0,0;8,509602546691895;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:56:00;20,86998748779297;8,522497177124023;0;0;5,5789008140563965;0,0;0,0437259748578071;7,119999885559082;-0,0;1;0,0;1,0;-0,6133159399032593;0,0;66,24668884277344;-0,0;0,0;8,522497177124023;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:57:00;20,86998748779297;8,543110847473145;0;0;5,565329074859619;0,0;0,0460000000894069;7,119999885559082;-0,0;1;0,0;1,0;-0,5959060192108154;0,0;66,24333190917969;-0,0;0,0;8,543110847473145;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
